subject_id	run_nr	timestamp
sid000000	2	2025-06-09T13:23:15.567387
sid000000	2	2025-06-09T13:23:31.808257
sid000000	2	2025-06-09T13:38:32.568602
sid000000	2	2025-06-09T13:38:48.143237
sid000000	2	2025-06-09T13:58:05.814697
sid000000	2	2025-06-09T13:59:04.659882
sid000000	2	2025-06-09T14:04:29.714754
sid000000	2	2025-06-09T14:41:19.241769
sid000000	2	2025-06-09T14:46:09.627425
sid000000	2	2025-06-09T14:49:54.868561
sid000000	2	2025-06-11T10:32:44.034046
sid000000	2	2025-06-11T10:51:46.940247
sid000000	2	2025-06-11T10:52:17.116061
sid000000	2	2025-06-11T10:52:40.720154
sid000000	2	2025-06-11T11:11:15.194428
sid000000	2	2025-06-11T11:17:54.796069
sid000000	2	2025-06-11T11:27:43.203286
sid000000	2	2025-06-11T11:47:24.496258
sid000000	2	2025-06-11T12:09:41.635037
sid000000	2	2025-06-11T12:17:09.123645
